city county,target,ap,grow_fi,grow_fsd,hos,popu_pgr,popu_poep,popu_mip,popu_om,cpp,housing_noh,lta,ahr,v,wsc,scr,p,ic,ahs,psap,sosang,so,jungso,jung,dae,er_sgg_man,er_sgg_woman,lfpr_sgg_man,lfpr_sgg_woman,bid,wgr,clc,spfm,pspti,cpp,pls,pol,fir,rsrs_tr,rsrs_fi,rsrs_ci,rsrs_li,rsrs_su,rsrs_in,gre,npptp,hbtp,s10
geumsan-gun,0,10300,18.2,65.1,4.6,-1.58,28.63,420,503,35,23104,12377,38.3,14.6,80.1,78.7,90.7,14,32.8,27.1,12887,6171,21903,2845,187,17.2,14.7,70,59,2.6,0.3,67.2,19.31,0.7,7.8,33.8,7.2,8.9,2,3,3,4,3,4,81.67,2.1,12,53.6
goesan-gun,0,9200,12.9,66.6,6.6,0.29,31.32,383,886,38.1,16836,9406,35.4,11.9,70.3,49.5,89,21,67.1,16.6,6629,2979,11678,2070,764,13.7,10.5,76.2,61.9,1.9,2.1,65.2,14.97,0.4,11.1,17.7,7.5,10.6,3,5,2,5,5,4,68.18,1.8,10.2,35.7
gongju city,0,9000,18.7,66.3,7.5,-0.96,23.84,1427,1589,34.5,45271,20038,28.4,14,85.8,73.8,87.4,9,25,60.4,20058,8378,33772,5336,7202,35.2,30.5,75.1,60.5,2,3.4,60,16.01,1.2,4.3,24.8,7,9.1,5,4,3,5,4,4,83.57,2.3,25,29.1
gyeryong city,0,16067,22.1,71.2,2.9,-1.7,10.25,1197,1339,20.4,16225,1093,4.6,13.4,96.9,96.7,100,5.8,4.9,99,4333,1829,6950,788,,9.1,8.3,67.7,48.6,4.5,1.7,57.8,13.53,1.3,6.7,55.5,4.4,3,2,1,1,2,3,1,90.2,1.6,6.4,25.6
hongseong-gun,0,11000,19.3,61.2,0,-0.48,22.2,1037,1135,33.1,43617,8237,26.3,15.4,90.7,71.5,94.2,12.1,68.8,32.9,17984,6554,27971,3433,653,32.1,25.6,74,57.8,2.2,3.4,59.3,17.79,1.4,15.8,22.9,5.1,6.6,3,4,4,2,3,2,65.44,2.1,15.7,18.9
jecheon city,0,8867,18.8,66.7,3.9,-0.49,19.77,1582,1745,33.6,57548,17657,23.7,12.5,94.6,93.5,98.7,16.5,60.8,18.4,25485,8325,38258,4448,1506,41.2,31.8,70.9,53.1,1.1,1.6,53.1,16.71,1.3,8.1,39.1,9.2,13.7,4,4,2,4,4,4,79.23,2.2,17.6,30.5
jeungpyeong-gun,1,7000,17.6,64.5,13.3,0.29,15.72,364,468,33.9,15249,8244,21.2,13.6,99.9,97.1,99.4,13.7,42.1,49.1,6179,2253,9404,972,1567,11.7,8.5,77.1,55.5,3.4,2.6,62.9,11.02,1.4,26.9,54,4.9,5.5,1,4,3,1,1,3,65.37,1.3,1.8,29.4
jincheon-gun,1,7000,27.8,62.6,0,3.43,15.82,1471,906,32.4,36556,3671,13.7,14.9,90.8,78.5,88.2,9.8,42.7,20,15755,13022,40089,11312,6741,31.7,19.5,80.5,57,3.7,5.8,78.9,11.3,1.1,18.5,26.1,6.2,7.9,3,2,4,1,1,1,52.48,1.7,9.9,25.9
nonsan city,0,8600,13.2,62.7,3.6,-1.06,24.34,1526,1467,33.2,48874,11045,35.2,12.4,83.4,72.8,82,8.6,11.9,59.9,23035,9257,37662,5370,688,37.6,30.6,73.3,57.7,2.5,2.8,59.6,11.95,1,5.2,37.7,5.8,7.3,5,4,3,4,4,5,79.47,2.7,25.4,37
okcheon-gun,0,10000,17.5,69.7,0,-0.92,27.53,356,376,28.6,21576,8739,38.1,12.5,88.5,87.8,77.5,11.3,33.4,27.3,10217,4672,16745,1856,,15.7,13.5,72.3,61.7,1,2.4,65.5,10.94,0.6,15.2,25.8,6.3,10.6,3,2,2,3,3,2,87.11,2.2,17,37.2
